"dbpedia","city","temp","population","density","website","country_name","image","flag","currency"
"http://dbpedia.org/resource/Tokyo","Tokyo",23.2,37800000,6224.66,"http://www.metro.tokyo.jp","Japan","http://commons.wikimedia.org/wiki/Special:FilePath/Tokyo_Montage_2015.jpg?width=300","http://en.wikipedia.org/wiki/Special:FilePath/Flag_of_Japan.svg?width=300","http://dbpedia.org/resource/Japanese_yen"
"http://dbpedia.org/resource/Jakarta","Jakarta",26.7,30214303,,"http://www.jakarta.go.id/","Indonesia","http://commons.wikimedia.org/wiki/Special:FilePath/Jakarta_Pictures-4.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Indonesia.svg?width=300","http://dbpedia.org/resource/Indonesian_rupiah"
"http://dbpedia.org/resource/São_Paulo","São Paulo",19.2,21090791,7.858,"http://www.prefeitura.sp.gov.br/","Brazil","http://commons.wikimedia.org/wiki/Special:FilePath/São_Paulo_Poster.jpg?width=300","http://en.wikipedia.org/wiki/Special:FilePath/Flag_of_Brazil.svg?width=300","http://dbpedia.org/resource/Brazilian_real"
"http://dbpedia.org/resource/Lagos","Lagos",26.8,21000000,6871.0,"http://www.lagosstate.gov.ng/","Nigeria","http://commons.wikimedia.org/wiki/Special:FilePath/Location_of_Lagos.png?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Nigeria.svg?width=300","http://dbpedia.org/resource/Nigerian_naira"
"http://dbpedia.org/resource/Bangkok","Bangkok",28.6,14565547,,"http://www.bangkoktourist.com/","Thailand","http://commons.wikimedia.org/wiki/Special:FilePath/Bangkok_Montage.png?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Thailand.svg?width=300","http://dbpedia.org/resource/Thai_baht"
"http://dbpedia.org/resource/Buenos_Aires","Buenos Aires",18.1,12741364,,"http://www.buenosaires.gob.ar","Argentina","http://commons.wikimedia.org/wiki/Special:FilePath/Buenos_Aires_City_Collage.png?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Argentina.svg?width=300","http://dbpedia.org/resource/Argentine_peso"
"http://dbpedia.org/resource/Rio_de_Janeiro","Rio de Janeiro",23.8,12280702,,"http://www.rio.rj.gov.br/","Brazil","http://commons.wikimedia.org/wiki/Special:FilePath/Montagem_RJ.jpg?width=300","http://en.wikipedia.org/wiki/Special:FilePath/Flag_of_Brazil.svg?width=300","http://dbpedia.org/resource/Brazilian_real"
"http://dbpedia.org/resource/Chengdu","Chengdu",16.1,10484996,,"http://www.chengdu.gov.cn","China","http://commons.wikimedia.org/wiki/Special:FilePath/Chengdu_montage.png?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_the_People%27s_Republic_of_China.svg?width=300","http://dbpedia.org/resource/Renminbi"
"http://dbpedia.org/resource/Bogotá","Bogotá",14.4,9800000,,"http://www.bogota.gov.co/","Colombia","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Bogotá.svg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Colombia.svg?width=300","http://dbpedia.org/resource/Colombian_peso"
"http://dbpedia.org/resource/Bogotá","Bogotá",14.4,9800000,,"http://english.bogotaturismo.gov.co/","Colombia","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Bogotá.svg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Colombia.svg?width=300","http://dbpedia.org/resource/Colombian_peso"
